date,S,K,T,r,sigma,option_type,asset_class
2025-01-01,1.10,1.12,0.5,0.02,0.10,call,FX
2025-01-02,1.11,1.12,0.6,0.02,0.10,call,FX
2025-01-03,1.09,1.10,0.7,0.02,0.11,call,FX
2025-01-04,1.12,1.15,0.8,0.02,0.12,call,FX
2025-01-05,1.13,1.10,0.9,0.02,0.10,call,FX
2025-01-01,1.10,1.12,0.5,0.02,0.10,put,FX
2025-01-02,1.11,1.12,0.6,0.02,0.10,put,FX
2025-01-03,1.09,1.10,0.7,0.02,0.11,put,FX
2025-01-04,1.12,1.15,0.8,0.02,0.12,put,FX
2025-01-05,1.13,1.10,0.9,0.02,0.10,put,FX
2025-01-06,100,105,1.0,0.05,0.20,call,Equity
2025-01-07,102,105,1.1,0.05,0.21,call,Equity
2025-01-08,98,100,1.2,0.05,0.22,call,Equity
2025-01-09,105,100,1.0,0.05,0.20,call,Equity
2025-01-10,101,100,0.9,0.05,0.19,call,Equity
2025-01-06,100,105,1.0,0.05,0.20,put,Equity
2025-01-07,102,105,1.1,0.05,0.21,put,Equity
2025-01-08,98,100,1.2,0.05,0.22,put,Equity
2025-01-09,105,100,1.0,0.05,0.20,put,Equity
2025-01-10,101,100,0.9,0.05,0.19,put,Equity
2025-01-11,75,80,0.3,0.03,0.30,call,Commodity
2025-01-12,76,80,0.4,0.03,0.31,call,Commodity
2025-01-13,74,75,0.5,0.03,0.32,call,Commodity
2025-01-14,78,75,0.4,0.03,0.30,call,Commodity
2025-01-15,73,70,0.6,0.03,0.29,call,Commodity
2025-01-11,75,80,0.3,0.03,0.30,put,Commodity
2025-01-12,76,80,0.4,0.03,0.31,put,Commodity
2025-01-13,74,-75,0.5,0.03,0.32,put,Commodity
2025-01-14,78,75,0.4,0.03,0.30,put,Commodity
2025-01-15,73,70,0.6,0.03,0.29,put,Commodity
